2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-07-01T15:26:29 Cycle:137da0a3-a392-4005-ac62-0e82b00a6d5e Created:2019-07-01T15:24:49 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,65576,BLV Lingiari PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
NT,306,Lingiari,8707,Braitling,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,284,-2
NT,306,Lingiari,8707,Braitling,33034,HANNA,George,2,N,N,GRN,The Greens,142,0
NT,306,Lingiari,8707,Braitling,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,21,2.35
NT,306,Lingiari,8707,Braitling,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,8,-1.44
NT,306,Lingiari,8707,Braitling,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,21,2.35
NT,306,Lingiari,8707,Braitling,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),416,7.41
NT,306,Lingiari,8707,Braitling,999,Informal,Informal,999,N,N,,Informal,43,-1.37
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,215,0.2
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,33034,HANNA,George,2,N,N,GRN,The Greens,49,0.45
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,14,2.93
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,24,2.5
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,16,3.35
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),160,2.15
NT,306,Lingiari,58672,Casuarina LINGIARI PPVC,999,Informal,Informal,999,N,N,,Informal,30,-2.87
NT,306,Lingiari,65748,Coolalinga PPVC,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,1015,-2.67
NT,306,Lingiari,65748,Coolalinga PPVC,33034,HANNA,George,2,N,N,GRN,The Greens,250,1.92
NT,306,Lingiari,65748,Coolalinga PPVC,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,143,3.72
NT,306,Lingiari,65748,Coolalinga PPVC,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,119,0.81
NT,306,Lingiari,65748,Coolalinga PPVC,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,343,8.93
NT,306,Lingiari,65748,Coolalinga PPVC,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),1973,10.21
NT,306,Lingiari,65748,Coolalinga PPVC,999,Informal,Informal,999,N,N,,Informal,204,-0.48
NT,306,Lingiari,58673,Darwin LINGIARI PPVC,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,285,-3.35
NT,306,Lingiari,58673,Darwin LINGIARI PPVC,33034,HANNA,George,2,N,N,GRN,The Greens,71,-0.32
NT,306,Lingiari,58673,Darwin LINGIARI PPVC,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,31,3.86
NT,306,Lingiari,58673,Darwin LINGIARI PPVC,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,24,-0.04
NT,306,Lingiari,58673,Darwin LINGIARI PPVC,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,44,5.47
NT,306,Lingiari,58673,Darwin LINGIARI PPVC,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),349,7.09
NT,306,Lingiari,58673,Darwin LINGIARI PPVC,999,Informal,Informal,999,N,N,,Informal,37,-3.34
NT,306,Lingiari,34133,Divisional Office (PREPOLL),32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,0,-17.67
NT,306,Lingiari,34133,Divisional Office (PREPOLL),33034,HANNA,George,2,N,N,GRN,The Greens,0,-7.64
NT,306,Lingiari,34133,Divisional Office (PREPOLL),32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,0,0
NT,306,Lingiari,34133,Divisional Office (PREPOLL),33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,0,-0.01
NT,306,Lingiari,34133,Divisional Office (PREPOLL),33028,MacFARLANE,Hamish,5,N,N,IND,Independent,0,0
NT,306,Lingiari,34133,Divisional Office (PREPOLL),33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),0,-47.28
NT,306,Lingiari,34133,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,0,-1.09
NT,306,Lingiari,8711,Gillen,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,469,-2.83
NT,306,Lingiari,8711,Gillen,33034,HANNA,George,2,N,N,GRN,The Greens,142,0.19
NT,306,Lingiari,8711,Gillen,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,32,2.4
NT,306,Lingiari,8711,Gillen,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,22,-1.14
NT,306,Lingiari,8711,Gillen,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,34,2.54
NT,306,Lingiari,8711,Gillen,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),637,7.76
NT,306,Lingiari,8711,Gillen,999,Informal,Informal,999,N,N,,Informal,50,-2.9
NT,306,Lingiari,8713,Howard Springs,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,319,-1.62
NT,306,Lingiari,8713,Howard Springs,33034,HANNA,George,2,N,N,GRN,The Greens,68,0.2
NT,306,Lingiari,8713,Howard Springs,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,41,3.7
NT,306,Lingiari,8713,Howard Springs,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,22,-0.17
NT,306,Lingiari,8713,Howard Springs,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,66,5.96
NT,306,Lingiari,8713,Howard Springs,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),592,9.69
NT,306,Lingiari,8713,Howard Springs,999,Informal,Informal,999,N,N,,Informal,61,-0.68
NT,306,Lingiari,8714,Humpty Doo,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,416,-0.1
NT,306,Lingiari,8714,Humpty Doo,33034,HANNA,George,2,N,N,GRN,The Greens,94,0.81
NT,306,Lingiari,8714,Humpty Doo,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,56,4.01
NT,306,Lingiari,8714,Humpty Doo,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,45,-1.19
NT,306,Lingiari,8714,Humpty Doo,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,146,10.47
NT,306,Lingiari,8714,Humpty Doo,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),638,8.53
NT,306,Lingiari,8714,Humpty Doo,999,Informal,Informal,999,N,N,,Informal,82,-0.66
NT,306,Lingiari,83180,Johnston,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,403,-12.51
NT,306,Lingiari,83180,Johnston,33034,HANNA,George,2,N,N,GRN,The Greens,114,3.66
NT,306,Lingiari,83180,Johnston,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,42,3.57
NT,306,Lingiari,83180,Johnston,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,36,0.52
NT,306,Lingiari,83180,Johnston,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,42,3.57
NT,306,Lingiari,83180,Johnston,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),540,16.19
NT,306,Lingiari,83180,Johnston,999,Informal,Informal,999,N,N,,Informal,67,-2.29
NT,306,Lingiari,8717,Katherine,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,178,-0.64
NT,306,Lingiari,8717,Katherine,33034,HANNA,George,2,N,N,GRN,The Greens,50,0.83
NT,306,Lingiari,8717,Katherine,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,24,4.03
NT,306,Lingiari,8717,Katherine,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,12,-1.53
NT,306,Lingiari,8717,Katherine,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,69,11.6
NT,306,Lingiari,8717,Katherine,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),262,12.51
NT,306,Lingiari,8717,Katherine,999,Informal,Informal,999,N,N,,Informal,17,-3.46
NT,306,Lingiari,12068,Katherine East,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,208,1.84
NT,306,Lingiari,12068,Katherine East,33034,HANNA,George,2,N,N,GRN,The Greens,34,-1.15
NT,306,Lingiari,12068,Katherine East,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,12,2.4
NT,306,Lingiari,12068,Katherine East,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,17,1.33
NT,306,Lingiari,12068,Katherine East,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,43,8.62
NT,306,Lingiari,12068,Katherine East,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),185,6.67
NT,306,Lingiari,12068,Katherine East,999,Informal,Informal,999,N,N,,Informal,20,-1.71
NT,306,Lingiari,34179,Katherine PPVC,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,818,-1.05
NT,306,Lingiari,34179,Katherine PPVC,33034,HANNA,George,2,N,N,GRN,The Greens,163,-0.25
NT,306,Lingiari,34179,Katherine PPVC,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,94,3.6
NT,306,Lingiari,34179,Katherine PPVC,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,83,-0.25
NT,306,Lingiari,34179,Katherine PPVC,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,296,11.33
NT,306,Lingiari,34179,Katherine PPVC,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),1159,8.37
NT,306,Lingiari,34179,Katherine PPVC,999,Informal,Informal,999,N,N,,Informal,142,-0.58
NT,306,Lingiari,12069,Larapinta,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,245,0.75
NT,306,Lingiari,12069,Larapinta,33034,HANNA,George,2,N,N,GRN,The Greens,66,-5.1
NT,306,Lingiari,12069,Larapinta,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,13,1.99
NT,306,Lingiari,12069,Larapinta,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,6,-1.97
NT,306,Lingiari,12069,Larapinta,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,14,2.15
NT,306,Lingiari,12069,Larapinta,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),308,9.99
NT,306,Lingiari,12069,Larapinta,999,Informal,Informal,999,N,N,,Informal,28,-3.4
NT,306,Lingiari,58674,Palmerston LINGIARI PPVC,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,492,-5.94
NT,306,Lingiari,58674,Palmerston LINGIARI PPVC,33034,HANNA,George,2,N,N,GRN,The Greens,112,1.73
NT,306,Lingiari,58674,Palmerston LINGIARI PPVC,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,85,4.76
NT,306,Lingiari,58674,Palmerston LINGIARI PPVC,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,67,1.45
NT,306,Lingiari,58674,Palmerston LINGIARI PPVC,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,107,6
NT,306,Lingiari,58674,Palmerston LINGIARI PPVC,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),921,9.33
NT,306,Lingiari,58674,Palmerston LINGIARI PPVC,999,Informal,Informal,999,N,N,,Informal,106,-2.59
NT,306,Lingiari,34147,Remote Mobile Team 1,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,968,23.11
NT,306,Lingiari,34147,Remote Mobile Team 1,33034,HANNA,George,2,N,N,GRN,The Greens,33,-1.68
NT,306,Lingiari,34147,Remote Mobile Team 1,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,14,1.05
NT,306,Lingiari,34147,Remote Mobile Team 1,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,32,-1.56
NT,306,Lingiari,34147,Remote Mobile Team 1,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,10,0.75
